,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude,Id
78,IN,Indiana,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.4780000000000002,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194,79
79,ND,North Dakota,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.55,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,80
80,NE,Nebraska,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.3260000000000005,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,81
81,MI,Michigan,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6340000000000001,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.661319543001, -84.71439027,82
82,WV,West Virginia,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.501,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135,83
83,DE,Delaware,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.45899999999999996,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.008830667, -75.577741168,84
84,ID,Idaho,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.071,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042,85
85,LA,Louisiana,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.41,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.312660644, -92.445680071,86
86,WV,West Virginia,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.752,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135,87
87,MA,Massachusetts,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.618,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,88
88,ND,North Dakota,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.598,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,89
89,HI,Hawaii,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.635,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403,90
90,NC,North Carolina,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.447,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.466220975, -79.159250463,91
91,NE,Nebraska,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.695,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,92
92,MA,Massachusetts,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.505,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,93
93,WV,West Virginia,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.478,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135,94
94,RI,Rhode Island,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.322,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314,95
